 0.119, 0.084, 0.691,-0.415
 0.119, 0.084, 0.692,-0.416
 0.12 , 0.084, 0.693,-0.417
 0.12 , 0.084, 0.693,-0.418
 0.12 , 0.084, 0.694,-0.418
 0.121, 0.084, 0.694,-0.419
 0.121, 0.084, 0.695,-0.42 
 0.122, 0.084, 0.696,-0.421
 0.122, 0.084, 0.696,-0.422
 0.122, 0.084, 0.697,-0.423
 0.123, 0.084, 0.698,-0.424
 0.123, 0.084, 0.698,-0.425
 0.124, 0.084, 0.699,-0.426
 0.124, 0.084, 0.7  ,-0.427
 0.124, 0.084, 0.7  ,-0.428
 0.125, 0.084, 0.701,-0.429
 0.125, 0.084, 0.701,-0.43 
 0.125, 0.084, 0.702,-0.431
 0.126, 0.084, 0.703,-0.432
 0.126, 0.084, 0.703,-0.433
 0.127, 0.084, 0.704,-0.434
 0.127, 0.084, 0.705,-0.434
 0.127, 0.084, 0.705,-0.435
 0.128, 0.084, 0.706,-0.436
 0.128, 0.084, 0.707,-0.437
 0.129, 0.084, 0.707,-0.438
 0.129, 0.084, 0.708,-0.439
 0.129, 0.084, 0.708,-0.44 
 0.13 , 0.084, 0.709,-0.441
 0.13 , 0.084, 0.71 ,-0.442
 0.13 , 0.084, 0.71 ,-0.443
 0.131, 0.084, 0.711,-0.444
 0.131, 0.084, 0.712,-0.445
 0.132, 0.084, 0.712,-0.446
 0.132, 0.084, 0.713,-0.447
 0.132, 0.084, 0.714,-0.448
 0.133, 0.084, 0.714,-0.449
 0.133, 0.084, 0.715,-0.45 
 0.134, 0.084, 0.715,-0.451
 0.134, 0.084, 0.716,-0.451
 0.134, 0.084, 0.717,-0.452
 0.135, 0.084, 0.717,-0.453
 0.135, 0.084, 0.718,-0.454
 0.135, 0.084, 0.719,-0.455
 0.136, 0.084, 0.719,-0.456
 0.136, 0.084, 0.72 ,-0.457
 0.137, 0.084, 0.721,-0.458
 0.137, 0.084, 0.721,-0.459
 0.137, 0.084, 0.722,-0.46 
 0.138, 0.084, 0.723,-0.461
 0.138, 0.084, 0.723,-0.462
 0.138, 0.084, 0.724,-0.463
 0.139, 0.084, 0.724,-0.464
 0.139, 0.084, 0.725,-0.465
 0.14 , 0.084, 0.726,-0.466
 0.14 , 0.084, 0.726,-0.467
 0.14 , 0.084, 0.727,-0.468
 0.141, 0.084, 0.728,-0.469
 0.141, 0.084, 0.728,-0.469
 0.141, 0.084, 0.729,-0.47 
 0.142, 0.084, 0.73 ,-0.471
 0.142, 0.084, 0.73 ,-0.472
 0.143, 0.084, 0.731,-0.473
 0.143, 0.084, 0.732,-0.474
 0.143, 0.084, 0.732,-0.475
 0.144, 0.084, 0.733,-0.476
 0.144, 0.084, 0.734,-0.477
 0.145, 0.084, 0.734,-0.478
 0.145, 0.083, 0.735,-0.479
 0.145, 0.083, 0.735,-0.48 
 0.146, 0.083, 0.736,-0.481
 0.146, 0.083, 0.737,-0.482
 0.146, 0.083, 0.737,-0.483
 0.147, 0.083, 0.738,-0.484
 0.147, 0.083, 0.739,-0.485
 0.148, 0.083, 0.739,-0.486
 0.148, 0.083, 0.74 ,-0.487
 0.148, 0.083, 0.741,-0.488
 0.149, 0.083, 0.741,-0.488
 0.149, 0.083, 0.742,-0.489
 0.149, 0.083, 0.743,-0.49 
 0.15 , 0.083, 0.743,-0.491
 0.15 , 0.083, 0.744,-0.492
 0.15 , 0.083, 0.745,-0.493
 0.151, 0.083, 0.745,-0.494
 0.151, 0.083, 0.746,-0.495
 0.152, 0.083, 0.747,-0.496
 0.152, 0.083, 0.747,-0.497
 0.152, 0.083, 0.748,-0.498
 0.153, 0.083, 0.749,-0.499
 0.153, 0.083, 0.749,-0.5  
 0.153, 0.082, 0.75 ,-0.501
 0.154, 0.082, 0.751,-0.502
 0.154, 0.082, 0.751,-0.503
 0.155, 0.082, 0.752,-0.504
 0.155, 0.082, 0.753,-0.505
 0.155, 0.082, 0.753,-0.506
 0.156, 0.082, 0.754,-0.507
 0.156, 0.082, 0.755,-0.508
 0.156, 0.082, 0.755,-0.509
 0.157, 0.082, 0.756,-0.51 
 0.157, 0.082, 0.757,-0.51 
 0.158, 0.082, 0.757,-0.511
 0.158, 0.082, 0.758,-0.512
 0.158, 0.082, 0.759,-0.513
 0.159, 0.082, 0.759,-0.514
 0.159, 0.082, 0.76 ,-0.515
 0.159, 0.082, 0.761,-0.516
